fabricante,propiedad,espesor_nominal_mm,valores_convertidos,naturaleza,metodo,direccion,valor_original_impreso,comparable_astm
Sotrafa,elongacion_fluencia,1.0,10.0,tipico,"UNE-EN ISO 527-3, probeta tipo 5",no-indicada,10 (>= 9) %,no
Sotrafa,desgarre,1.0,150.0,tipico,ISO 34-1/B (a),no-indicada,150 (>= 135) N,no
Sotrafa,oit_std,1.0,100.0,minimo,UNE-EN 728,no-indicada,>= 100 min,no
Sotrafa,envejecimiento_horno,1.0,55.0,minimo,UNE-EN 728,no-indicada,>= 55 % retenido,no
Sotrafa,resistencia_uv,1.0,55.0,minimo,UNE-EN 728,no-indicada,>= 55 % retenido,no
Sotrafa,scr,1.0,300.0,minimo,UNE EN 14576,no-indicada,>= 300 h,no
Sotrafa,espesor_minimo,1.5,1.5,tipico,UNE-EN 1849-2,no-indicada,1.50 +- 5 % mm,no
Sotrafa,traccion_rotura,1.5,49.5,tipico,"UNE-EN ISO 527-3, probeta tipo 5",no-indicada,33 (>= 26) MPa,no
Sotrafa,elongacion_rotura,1.5,900.0,tipico,"UNE-EN ISO 527-3, probeta tipo 5",no-indicada,900 (>= 700) %,no
Sotrafa,traccion_fluencia,1.5,28.5,tipico,"UNE-EN ISO 527-3, probeta tipo 5",no-indicada,19 (>= 16) MPa,no
Sotrafa,elongacion_fluencia,1.5,10.0,tipico,"UNE-EN ISO 527-3, probeta tipo 5",no-indicada,10 (>= 9) %,no
Sotrafa,desgarre,1.5,225.0,tipico,ISO 34-1/B (a),no-indicada,225 (>= 200) N,no
Sotrafa,oit_std,1.5,100.0,minimo,UNE-EN 728,no-indicada,>= 100 min,no
Sotrafa,envejecimiento_horno,1.5,55.0,minimo,UNE-EN 728,no-indicada,>= 55 % retenido,no
Sotrafa,resistencia_uv,1.5,55.0,minimo,UNE-EN 728,no-indicada,>= 55 % retenido,no
Sotrafa,scr,1.5,300.0,minimo,UNE EN 14576,no-indicada,>= 300 h,no
Maruplast,espesor_promedio,1.0,0.9,minimo,?,no-indicada,0.9 mm,no
Maruplast,espesor_promedio,1.5,1.35,minimo,?,no-indicada,1.35 mm,no
Maruplast,traccion_rotura,1.0,27.0,minimo,?,no-indicada,≥27 kN/m,no
Maruplast,traccion_rotura,1.5,40.0,minimo,?,no-indicada,≥40 kN/m,no
Maruplast,elongacion_rotura,1.0,700.0,minimo,?,no-indicada,≥700 %,no
Maruplast,elongacion_rotura,1.5,700.0,minimo,?,no-indicada,≥700 %,no
Maruplast,traccion_fluencia,1.0,15.0,minimo,?,no-indicada,≥15 kN/m,no
Maruplast,traccion_fluencia,1.5,22.0,minimo,?,no-indicada,≥22 kN/m,no
Maruplast,elongacion_fluencia,1.0,12.0,minimo,?,no-indicada,≥12 %,no
Maruplast,elongacion_fluencia,1.5,12.0,minimo,?,no-indicada,≥12 %,no
Maruplast,punzonamiento,1.0,320.0,minimo,?,no-indicada,≥320 no-impresa,no
Maruplast,punzonamiento,1.5,480.0,minimo,?,no-indicada,≥480 no-impresa,no
Maruplast,desgarre,1.0,125.0,minimo,?,no-indicada,≥125 no-impresa,no
Maruplast,desgarre,1.5,187.0,minimo,?,no-indicada,≥187 no-impresa,no
Maruplast,resistencia_uv,1.0,50.0,minimo,?,no-indicada,≥50 %,no
Maruplast,resistencia_uv,1.5,50.0,minimo,?,no-indicada,≥50 %,no
Maruplast,scr,1.0,300.0,minimo,?,no-indicada,≥300 h,no
Maruplast,scr,1.5,300.0,minimo,?,no-indicada,≥300 h,no
Maruplast,oit_std,1.0,100.0,minimo,?,no-indicada,≥100 minutos,no
Maruplast,oit_std,1.5,100.0,minimo,?,no-indicada,≥100 minutos,no
Maruplast,densidad,1.0,0.94,minimo,?,no-indicada,>0.940 g/cm3,no
Maruplast,densidad,1.5,0.94,minimo,?,no-indicada,>0.940 g/cm3,no
Pavco,resistencia_uv,1.0,50.0,minimo,ASTM D5885,,>50 %,no
Pavco,resistencia_uv,1.5,50.0,minimo,ASTM D5885,,>50 %,no
